"index","parent","subba","time","start","end","start_act","end_act","start_match","end_match","n_obs","na","type","update","success","comments"
7,"CISO","SDGE",2024-07-14 05:14:03.261503,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
7,"CISO","VEA",2024-07-14 05:14:03.262877,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
8,"CISO","PGAE",2024-07-14 06:16:34.438694,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
8,"CISO","SCE",2024-07-14 06:16:34.440296,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
8,"CISO","SDGE",2024-07-14 06:16:34.441683,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
8,"CISO","VEA",2024-07-14 06:16:34.443049,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
9,"CISO","PGAE",2024-07-14 07:13:23.372917,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
9,"CISO","SCE",2024-07-14 07:13:23.374576,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
9,"CISO","SDGE",2024-07-14 07:13:23.37594,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
9,"CISO","VEA",2024-07-14 07:13:23.377283,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
10,"CISO","PGAE",2024-07-14 08:15:55.820498,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
10,"CISO","SCE",2024-07-14 08:15:55.822104,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
10,"CISO","SDGE",2024-07-14 08:15:55.823451,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
10,"CISO","VEA",2024-07-14 08:15:55.824811,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
11,"CISO","PGAE",2024-07-14 09:13:36.898136,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
11,"CISO","SCE",2024-07-14 09:13:36.899766,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
11,"CISO","SDGE",2024-07-14 09:13:36.901168,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
11,"CISO","VEA",2024-07-14 09:13:36.902558,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
12,"CISO","PGAE",2024-07-14 10:13:46.084624,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
12,"CISO","SCE",2024-07-14 10:13:46.086317,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
12,"CISO","SDGE",2024-07-14 10:13:46.087672,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
12,"CISO","VEA",2024-07-14 10:13:46.089034,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
13,"CISO","PGAE",2024-07-14 11:10:48.903351,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
13,"CISO","SCE",2024-07-14 11:10:48.905005,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
13,"CISO","SDGE",2024-07-14 11:10:48.906395,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
