"model","yhat","lower","upper","subba","forecast_label","method","time"
"LM",1953.33725353307,1738.39112351703,2168.28338354912,"SDGE","2024-07-08","model7",2024-07-08
"LM",2239.79442472337,2024.84829470732,2454.74055473941,"SDGE","2024-07-08","model7",2024-07-08 01:00:00
"LM",2590.54612846202,2375.59999844597,2805.49225847807,"SDGE","2024-07-08","model7",2024-07-08 02:00:00
"LM",2911.65547698652,2696.70934697048,3126.60160700257,"SDGE","2024-07-08","model7",2024-07-08 03:00:00
"LM",2991.94067794443,2776.99454792838,3206.88680796047,"SDGE","2024-07-08","model7",2024-07-08 04:00:00
"LM",2972.87937117652,2757.93324116047,3187.82550119257,"SDGE","2024-07-08","model7",2024-07-08 05:00:00
"LM",2898.71480115916,2683.76867114311,3113.66093117521,"SDGE","2024-07-08","model7",2024-07-08 06:00:00
"LM",2740.17625736249,2525.23012734644,2955.12238737854,"SDGE","2024-07-08","model7",2024-07-08 07:00:00
"LM",2569.15801954779,2354.21188953175,2784.10414956384,"SDGE","2024-07-08","model7",2024-07-08 08:00:00
"LM",2557.20070308269,2342.25457306664,2772.14683309873,"SDGE","2024-07-08","model7",2024-07-08 09:00:00
"LM",2431.76102902011,2216.81489900407,2646.70715903616,"SDGE","2024-07-08","model7",2024-07-08 10:00:00
"LM",2310.07248154714,2095.1263515311,2525.01861156319,"SDGE","2024-07-08","model7",2024-07-08 11:00:00
"LM",2242.19040401657,2027.24427400052,2457.13653403262,"SDGE","2024-07-08","model7",2024-07-08 12:00:00
"LM",2183.69411991619,1968.74798990014,2398.64024993223,"SDGE","2024-07-08","model7",2024-07-08 13:00:00
"LM",2179.95720647229,1965.01107645624,2394.90333648833,"SDGE","2024-07-08","model7",2024-07-08 14:00:00
"LM",2159.24502075644,1944.2988907404,2374.19115077249,"SDGE","2024-07-08","model7",2024-07-08 15:00:00
"LM",2131.92680923133,1916.98067921529,2346.87293924738,"SDGE","2024-07-08","model7",2024-07-08 16:00:00
"LM",2034.22960216618,1819.28347215013,2249.17573218223,"SDGE","2024-07-08","model7",2024-07-08 17:00:00
"LM",1855.14419365205,1640.198063636,2070.09032366809,"SDGE","2024-07-08","model7",2024-07-08 18:00:00
"LM",1694.37809403675,1479.43196402071,1909.3242240528,"SDGE","2024-07-08","model7",2024-07-08 19:00:00
"LM",1594.65426164034,1379.70813162429,1809.60039165639,"SDGE","2024-07-08","model7",2024-07-08 20:00:00
"LM",1544.78545393643,1329.83932392039,1759.73158395248,"SDGE","2024-07-08","model7",2024-07-08 21:00:00
"LM",1584.93552502243,1369.98939500638,1799.88165503847,"SDGE","2024-07-08","model7",2024-07-08 22:00:00
"LM",1691.01865699147,1476.07252697543,1905.96478700752,"SDGE","2024-07-08","model7",2024-07-08 23:00:00
"LM",139.229860795161,84.5111083115032,193.948613278819,"VEA","2024-07-08","model5",2024-07-08
"LM",141.422564683298,86.7038121996397,196.141317166956,"VEA","2024-07-08","model5",2024-07-08 01:00:00
"LM",143.714675556237,88.9959230725786,198.433428039894,"VEA","2024-07-08","model5",2024-07-08 02:00:00
"LM",140.363167829773,85.6444153461148,195.081920313431,"VEA","2024-07-08","model5",2024-07-08 03:00:00
"LM",131.604070041341,76.8853175576828,186.322822524999,"VEA","2024-07-08","model5",2024-07-08 04:00:00
"LM",119.306196572666,64.5874440890082,174.024949056324,"VEA","2024-07-08","model5",2024-07-08 05:00:00
"LM",106.826432532197,52.1076800485387,161.545185015855,"VEA","2024-07-08","model5",2024-07-08 06:00:00
"LM",95.0568433667858,40.3380908831279,149.775595850444,"VEA","2024-07-08","model5",2024-07-08 07:00:00
"LM",84.8290941402483,30.1103416565903,139.547846623906,"VEA","2024-07-08","model5",2024-07-08 08:00:00
"LM",76.7353332139076,22.0165807302497,131.454085697565,"VEA","2024-07-08","model5",2024-07-08 09:00:00
"LM",70.8075845088387,16.0888320251808,125.526336992497,"VEA","2024-07-08","model5",2024-07-08 10:00:00
"LM",66.1723016573959,11.453549173738,120.891054141054,"VEA","2024-07-08","model5",2024-07-08 11:00:00
"LM",63.7184600165179,8.99970753285994,118.437212500176,"VEA","2024-07-08","model5",2024-07-08 12:00:00
"LM",62.0194911527326,7.30073866907468,116.738243636391,"VEA","2024-07-08","model5",2024-07-08 13:00:00
"LM",62.6839028090814,7.96515032542348,117.402655292739,"VEA","2024-07-08","model5",2024-07-08 14:00:00
"LM",68.151741262027,13.4329887783691,122.870493745685,"VEA","2024-07-08","model5",2024-07-08 15:00:00
"LM",165.054987476225,110.336234992567,219.773739959883,"VEA","2024-07-08","model5",2024-07-08 16:00:00
"LM",173.128653596357,118.409901112699,227.847406080015,"VEA","2024-07-08","model5",2024-07-08 17:00:00
"LM",177.485116608659,122.766364125001,232.203869092317,"VEA","2024-07-08","model5",2024-07-08 18:00:00
"LM",170.690311067646,115.971558583988,225.409063551304,"VEA","2024-07-08","model5",2024-07-08 19:00:00
"LM",172.093866935027,117.375114451369,226.812619418685,"VEA","2024-07-08","model5",2024-07-08 20:00:00
"LM",174.342173187616,119.623420703958,229.060925671274,"VEA","2024-07-08","model5",2024-07-08 21:00:00
"LM",162.053216566056,107.334464082398,216.771969049714,"VEA","2024-07-08","model5",2024-07-08 22:00:00
"LM",143.582232044899,88.863479561241,198.300984528557,"VEA","2024-07-08","model5",2024-07-08 23:00:00
"LM",16447.3161319922,14817.0545551112,18077.5777088733,"PGAE","2024-07-14","model6",2024-07-14
"LM",17128.5846057922,15498.3230289112,18758.8461826733,"PGAE","2024-07-14","model6",2024-07-14 01:00:00
"LM",17853.0716337971,16222.810056916,19483.3332106782,"PGAE","2024-07-14","model6",2024-07-14 02:00:00
"LM",18247.7143398347,16617.4527629537,19877.9759167158,"PGAE","2024-07-14","model6",2024-07-14 03:00:00
"LM",18038.3615313479,16408.0999544668,19668.6231082289,"PGAE","2024-07-14","model6",2024-07-14 04:00:00
"LM",17575.4999982718,15945.2384213907,19205.7615751529,"PGAE","2024-07-14","model6",2024-07-14 05:00:00
"LM",16939.5477417773,15309.2861648962,18569.8093186583,"PGAE","2024-07-14","model6",2024-07-14 06:00:00
"LM",15739.8175931363,14109.5560162552,17370.0791700174,"PGAE","2024-07-14","model6",2024-07-14 07:00:00
"LM",14557.5783567835,12927.3167799024,16187.8399336646,"PGAE","2024-07-14","model6",2024-07-14 08:00:00
"LM",13693.3507103196,12063.0891334385,15323.6122872007,"PGAE","2024-07-14","model6",2024-07-14 09:00:00
"LM",12930.7685767345,11300.5069998534,14561.0301536156,"PGAE","2024-07-14","model6",2024-07-14 10:00:00
"LM",12331.8502926491,10701.5887157681,13962.1118695302,"PGAE","2024-07-14","model6",2024-07-14 11:00:00
"LM",11814.2163255363,10183.9547486552,13444.4779024173,"PGAE","2024-07-14","model6",2024-07-14 12:00:00
"LM",11636.9735575813,10006.7119807002,13267.2351344624,"PGAE","2024-07-14","model6",2024-07-14 13:00:00
"LM",11692.6299162981,10062.368339417,13322.8914931791,"PGAE","2024-07-14","model6",2024-07-14 14:00:00
"LM",11891.0177489375,10260.7561720564,13521.2793258185,"PGAE","2024-07-14","model6",2024-07-14 15:00:00
"LM",12247.4877326583,10617.2261557772,13877.7493095394,"PGAE","2024-07-14","model6",2024-07-14 16:00:00
"LM",12700.996571783,11070.7349949019,14331.2581486641,"PGAE","2024-07-14","model6",2024-07-14 17:00:00
"LM",12770.0536943749,11139.7921174938,14400.3152712559,"PGAE","2024-07-14","model6",2024-07-14 18:00:00
"LM",12996.9608577762,11366.6992808952,14627.2224346573,"PGAE","2024-07-14","model6",2024-07-14 19:00:00
"LM",12739.1388181518,11108.8772412707,14369.4003950329,"PGAE","2024-07-14","model6",2024-07-14 20:00:00
"LM",12386.9878787703,10756.7263018893,14017.2494556514,"PGAE","2024-07-14","model6",2024-07-14 21:00:00
"LM",12699.4947788466,11069.2332019655,14329.7563557277,"PGAE","2024-07-14","model6",2024-07-14 22:00:00
"LM",13179.8438742232,11549.5822973421,14810.1054511042,"PGAE","2024-07-14","model6",2024-07-14 23:00:00
"GLMNET",16559.8117053019,14380.712313884,18738.9110967198,"SCE","2024-07-14","model18",2024-07-14
"GLMNET",16452.2674637092,14273.1680722913,18631.3668551271,"SCE","2024-07-14","model18",2024-07-14 01:00:00
"GLMNET",16871.6111352449,14692.511743827,19050.7105266628,"SCE","2024-07-14","model18",2024-07-14 02:00:00
"GLMNET",16499.9923808436,14320.8929894257,18679.0917722615,"SCE","2024-07-14","model18",2024-07-14 03:00:00
"GLMNET",16010.6109983489,13831.511606931,18189.7103897668,"SCE","2024-07-14","model18",2024-07-14 04:00:00
"GLMNET",15769.5524438607,13590.4530524428,17948.6518352786,"SCE","2024-07-14","model18",2024-07-14 05:00:00
"GLMNET",15422.6588216105,13243.5594301926,17601.7582130284,"SCE","2024-07-14","model18",2024-07-14 06:00:00
"GLMNET",14573.8040512216,12394.7046598037,16752.9034426395,"SCE","2024-07-14","model18",2024-07-14 07:00:00
"GLMNET",13531.4583748805,11352.3589834626,15710.5577662984,"SCE","2024-07-14","model18",2024-07-14 08:00:00
"GLMNET",12695.8135611258,10516.7141697079,14874.9129525437,"SCE","2024-07-14","model18",2024-07-14 09:00:00
"GLMNET",11908.7865691926,9729.68717777473,14087.8859606105,"SCE","2024-07-14","model18",2024-07-14 10:00:00
"GLMNET",11467.3867182617,9288.28732684379,13646.4861096796,"SCE","2024-07-14","model18",2024-07-14 11:00:00
"GLMNET",11114.4226363892,8935.32324497132,13293.5220278071,"SCE","2024-07-14","model18",2024-07-14 12:00:00
"GLMNET",10871.6574133307,8692.55802191275,13050.7568047486,"SCE","2024-07-14","model18",2024-07-14 13:00:00
"GLMNET",10760.4031369615,8581.30374554362,12939.5025283794,"SCE","2024-07-14","model18",2024-07-14 14:00:00
"GLMNET",10784.2096867958,8605.11029537794,12963.3090782137,"SCE","2024-07-14","model18",2024-07-14 15:00:00
