"index","parent","subba","time","start","end","start_act","end_act","start_match","end_match","n_obs","na","type","update","success","comments"
1,"CISO","PGAE",2024-07-15 05:09:42.084948,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,""
1,"CISO","SCE",2024-07-15 05:10:14.05906,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,""
1,"CISO","SDGE",2024-07-15 05:10:46.160542,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,""
1,"CISO","VEA",2024-07-15 05:11:14.268508,2018-07-01 08:00:00,2024-07-08 01:00:00,2018-07-01 08:00:00,2024-07-08 01:00:00,TRUE,TRUE,52770,0,"backfill",TRUE,TRUE,""
